,Folder,Horizontal,Vertical,Distances
150,000103_12_01,0.732422,0.732422,1.0
151,000103_12_02,0.732422,0.732422,1.0
152,000103_13_02,0.732422,0.732422,1.0
153,000104_03_01,0.828125,0.828125,1.0
154,000105_02_01,0.6367189999999999,0.6367189999999999,1.0
155,000105_03_01,0.6445310000000001,0.6445310000000001,1.0
156,000105_04_01,0.640625,0.640625,1.0
157,000107_01_02,0.820312,0.820312,1.0
158,000108_01_01,0.859375,0.859375,1.0
159,000108_02_01,0.9375,0.9375,1.0
160,000110_02_02,0.820312,0.820312,1.0
161,000112_03_01,0.898438,0.898438,1.0
162,000114_01_01,0.871094,0.871094,1.0
163,000114_02_01,0.742188,0.742188,1.0
164,000114_03_02,0.8164060000000001,0.8164060000000001,1.0
165,000115_03_02,0.9375,0.9375,1.0
166,000115_04_01,0.898438,0.898438,1.0
167,000115_05_01,0.976562,0.976562,1.0
168,000115_06_02,0.976562,0.976562,1.0
169,000115_06_03,0.976562,0.976562,1.0
170,000115_07_01,0.9375,0.9375,1.0
171,000115_07_04,0.9375,0.9375,1.0
172,000116_01_01,0.976562,0.976562,1.0
173,000116_03_02,0.976562,0.976562,1.0
174,000116_05_01,0.898438,0.898438,1.0
175,000116_05_02,0.898438,0.898438,1.0
176,000116_06_01,0.976562,0.976562,1.0
177,000116_06_02,0.976562,0.976562,1.0
178,000116_07_01,0.898438,0.898438,1.0
179,000116_07_02,0.898438,0.898438,1.0
180,000120_01_02,0.742188,0.742188,1.0
181,000121_03_01,0.8164060000000001,0.8164060000000001,1.0
182,000121_04_01,0.703125,0.703125,1.0
183,000122_04_02,0.8164060000000001,0.8164060000000001,1.0
184,000123_01_01,0.742188,0.742188,1.0
185,000123_02_01,0.703125,0.703125,1.0
186,000123_03_01,0.898438,0.898438,1.0
187,000126_01_01,0.859375,0.859375,1.0
188,000126_02_02,0.859375,0.859375,1.0
189,000127_02_02,0.742188,0.742188,1.0
190,000127_03_01,0.78125,0.78125,1.0
191,000129_03_01,0.976562,0.976562,1.0
192,000133_03_02,0.773438,0.773438,1.0
193,000135_02_03,0.7929689999999999,0.7929689999999999,1.0
194,000138_01_01,0.898438,0.898438,1.0
195,000138_02_01,0.763672,0.763672,1.0
196,000138_03_01,0.9375,0.9375,1.0
197,000139_03_02,0.78125,0.78125,1.0
198,000139_05_02,0.585938,0.585938,1.0
199,000143_01_01,0.976562,0.976562,1.0
200,000143_02_01,0.976562,0.976562,1.0
201,000143_03_02,0.976562,0.976562,1.0
202,000143_03_03,0.976562,0.976562,1.0
203,000143_04_02,0.976562,0.976562,1.0
204,000143_05_01,0.976562,0.976562,1.0
205,000143_06_01,0.953125,0.953125,1.0
206,000143_06_02,0.953125,0.953125,1.0
207,000143_07_01,0.976562,0.976562,1.0
208,000143_08_01,0.898438,0.898438,1.0
209,000143_08_02,0.898438,0.898438,1.0
210,000143_09_01,0.976562,0.976562,1.0
211,000143_09_02,0.976562,0.976562,1.0
212,000143_10_02,0.847656,0.847656,1.0
213,000146_01_01,0.664062,0.664062,1.0
214,000146_02_01,0.78125,0.78125,1.0
215,000147_03_02,0.863281,0.863281,1.0
216,000147_04_01,0.976562,0.976562,1.0
217,000149_01_01,0.859375,0.859375,1.0
218,000149_02_01,0.8164060000000001,0.8164060000000001,1.0
219,000149_04_02,0.732422,0.732422,1.0
220,000151_11_02,0.9746090000000001,0.9746090000000001,1.0
221,000151_13_02,0.976562,0.976562,1.0
222,000151_14_01,0.976562,0.976562,1.0
223,000151_15_02,0.878906,0.878906,1.0
224,000151_15_03,0.878906,0.878906,1.0
225,000151_16_01,0.9375,0.9375,1.0
226,000151_17_01,0.9,0.9,1.0
227,000151_17_02,0.9,0.9,1.0
228,000151_18_02,0.898438,0.898438,1.0
229,000151_18_03,0.898438,0.898438,1.0
230,000152_02_01,0.898438,0.898438,1.0
231,000153_03_01,0.664062,0.664062,1.0
232,000153_05_01,0.8164060000000001,0.8164060000000001,1.0
233,000154_02_01,0.546875,0.546875,1.0
234,000154_03_01,0.5371090000000001,0.5371090000000001,1.0
235,000154_04_01,0.507812,0.507812,1.0
236,000155_07_01,0.78125,0.78125,1.0
237,000155_08_01,0.9375,0.9375,1.0
238,000156_02_01,0.976562,0.976562,1.0
239,000158_03_01,0.8164060000000001,0.8164060000000001,1.0
240,000159_01_01,0.741,0.741,1.0
241,000159_02_02,0.847656,0.847656,1.0
242,000159_02_03,0.847656,0.847656,1.0
243,000159_03_02,0.847656,0.847656,1.0
244,000159_03_03,0.847656,0.847656,1.0
245,000159_05_02,0.804688,0.804688,1.0
246,000160_07_02,0.8847659999999999,0.8847659999999999,1.0
247,000160_09_01,0.664062,0.664062,1.0
248,000160_10_01,0.835938,0.835938,1.0
249,000161_07_01,0.8164060000000001,0.8164060000000001,1.0
250,000161_08_02,0.9375,0.9375,1.0
251,000161_09_01,0.976562,0.976562,1.0
252,000161_09_02,0.976562,0.976562,1.0
253,000161_10_01,0.8574219999999999,0.8574219999999999,1.0
254,000162_05_02,0.8164060000000001,0.8164060000000001,1.0
255,000163_03_02,0.6914060000000001,0.6914060000000001,1.0
256,000163_04_02,0.78125,0.78125,1.0
257,000163_05_02,0.78125,0.78125,1.0
258,000163_06_02,0.7440000000000001,0.7440000000000001,1.0
259,000163_07_02,0.782,0.782,1.0
260,000164_10_02,0.703125,0.703125,1.0
261,000166_03_01,0.779297,0.779297,1.0
262,000169_04_02,0.941406,0.941406,1.0
263,000172_04_02,0.804688,0.804688,1.0
264,000172_05_01,0.851562,0.851562,1.0
265,000175_01_01,0.859375,0.859375,1.0
266,000177_05_02,0.695312,0.695312,1.0
267,000177_07_02,0.7089840000000001,0.7089840000000001,1.0
268,000177_08_01,0.78125,0.78125,1.0
269,000177_09_01,0.742188,0.742188,1.0
270,000179_03_01,0.976562,0.976562,1.0
271,000181_01_01,0.6914060000000001,0.6914060000000001,1.0
272,000181_02_01,0.859375,0.859375,1.0
273,000182_02_02,0.742188,0.742188,1.0
274,000183_02_01,0.7851560000000001,0.7851560000000001,1.0
275,000185_01_02,0.898438,0.898438,1.0
276,000185_02_02,0.976562,0.976562,1.0
277,000185_02_03,0.976562,0.976562,1.0
278,000185_02_04,0.976562,0.976562,1.0
279,000185_04_01,0.976562,0.976562,1.0
280,000186_08_01,0.9375,0.9375,1.0
281,000186_09_01,0.976562,0.976562,1.0
282,000186_10_01,0.976562,0.976562,1.0
283,000186_11_02,0.898438,0.898438,1.0
284,000186_13_02,0.9375,0.9375,1.0
285,000186_14_02,0.859375,0.859375,1.0
286,000186_14_03,0.859375,0.859375,1.0
287,000186_15_02,0.8125,0.8125,1.0
288,000187_08_02,0.9375,0.9375,1.0
289,000187_08_03,0.9375,0.9375,1.0
290,000187_10_02,0.9,0.9,1.0
291,000187_12_02,0.9042969999999999,0.9042969999999999,1.0
292,000187_15_01,0.898438,0.898438,1.0
293,000188_02_01,0.820312,0.820312,1.0
294,000188_03_01,0.732422,0.732422,1.0
295,000189_02_01,0.78125,0.78125,1.0
296,000189_03_01,0.820312,0.820312,1.0
297,000189_04_01,0.78125,0.78125,1.0
298,000189_04_02,0.820312,0.820312,1.0
299,000190_01_01,0.7871090000000001,0.7871090000000001,1.0
300,000190_02_02,0.828125,0.828125,1.0
301,000192_02_03,0.976562,0.976562,1.0
302,000193_01_02,0.898438,0.898438,1.0
303,000193_02_02,0.9375,0.9375,1.0
304,000193_03_01,0.78125,0.78125,1.0
305,000195_02_02,0.949219,0.949219,1.0
306,000195_05_01,0.882812,0.882812,1.0
307,000196_03_01,0.82,0.82,1.0
308,000196_03_02,0.82,0.82,1.0
309,000198_01_01,0.662,0.662,1.0
310,000198_02_01,0.732422,0.732422,1.0
311,000198_03_01,0.6816409999999999,0.6816409999999999,1.0
312,000198_04_01,0.685547,0.685547,1.0
313,000198_05_01,0.732422,0.732422,1.0
314,000199_01_02,0.9375,0.9375,1.0
315,000199_02_02,0.7851560000000001,0.7851560000000001,1.0
316,000199_03_02,0.7128909999999999,0.7128909999999999,1.0
317,000199_04_02,0.763672,0.763672,1.0
318,000199_06_02,0.6914060000000001,0.6914060000000001,1.0
319,000199_06_03,0.6914060000000001,0.6914060000000001,1.0
320,000200_01_01,0.976562,0.976562,1.0
321,000200_02_01,0.976562,0.976562,1.0
322,000200_03_01,0.976562,0.976562,1.0
323,000202_01_01,0.898438,0.898438,1.0
324,000203_03_01,0.820312,0.820312,1.0
325,000204_08_02,0.898438,0.898438,1.0
326,000205_01_02,0.9375,0.9375,1.0
327,000205_02_01,0.859375,0.859375,1.0
328,000205_02_02,0.859375,0.859375,1.0
329,000207_01_01,0.78125,0.78125,1.0
330,000207_02_02,0.782,0.782,1.0
331,000207_03_01,0.617188,0.617188,1.0
332,000207_04_01,0.75,0.75,1.0
333,000207_05_02,0.6914060000000001,0.6914060000000001,1.0
334,000207_06_02,0.8164060000000001,0.8164060000000001,1.0
335,000207_07_01,0.7285159999999999,0.7285159999999999,1.0
336,000211_04_02,0.7659999999999999,0.7659999999999999,1.0
337,000211_05_01,0.6829999999999999,0.6829999999999999,1.0
338,000213_04_02,0.703125,0.703125,1.0
339,000213_05_03,0.742188,0.742188,1.0
340,000213_06_01,0.78125,0.78125,1.0
341,000213_06_03,0.78125,0.78125,1.0
342,000215_05_02,0.782,0.782,1.0
343,000215_09_02,0.8769530000000001,0.8769530000000001,1.0
344,000216_01_01,0.976562,0.976562,1.0
345,000216_02_01,0.976562,0.976562,1.0
346,000218_04_01,0.976562,0.976562,1.0
347,000218_05_01,0.976562,0.976562,1.0
348,000219_01_01,0.742188,0.742188,1.0
349,000219_02_01,0.742188,0.742188,1.0
350,000219_03_01,0.859375,0.859375,1.0
351,000220_01_01,0.976562,0.976562,1.0
352,000220_02_01,0.7851560000000001,0.7851560000000001,1.0
353,000220_06_02,0.82,0.82,1.0
354,000220_06_03,0.82,0.82,1.0
355,000220_07_01,0.8261719999999999,0.8261719999999999,1.0
356,000220_09_01,0.773438,0.773438,1.0
357,000220_10_02,0.835938,0.835938,1.0
358,000220_10_03,0.835938,0.835938,1.0
359,000220_11_02,0.976562,0.976562,1.0
360,000220_12_02,0.9375,0.9375,1.0
361,000220_13_02,0.8261719999999999,0.8261719999999999,1.0
362,000220_14_02,0.8164060000000001,0.8164060000000001,1.0
363,000220_15_02,0.976562,0.976562,1.0
364,000220_15_03,0.976562,0.976562,1.0
365,000221_03_02,0.859375,0.859375,1.0
366,000221_06_02,0.9375,0.9375,1.0
367,000222_03_02,0.78125,0.78125,1.0
368,000222_07_01,0.6914060000000001,0.6914060000000001,1.0
369,000222_13_02,0.8007810000000001,0.8007810000000001,1.0
370,000222_15_02,0.8164060000000001,0.8164060000000001,1.0
371,000223_05_02,0.6914060000000001,0.6914060000000001,1.0
372,000223_05_03,0.6914060000000001,0.6914060000000001,1.0
373,000223_06_02,0.625,0.625,1.0
374,000223_06_03,0.625,0.625,1.0
375,000223_07_01,0.6601560000000001,0.6601560000000001,1.0
376,000223_08_01,0.625,0.625,1.0
377,000223_09_02,0.8164060000000001,0.8164060000000001,1.0
378,000223_10_02,0.742188,0.742188,1.0
379,000224_03_02,0.6445310000000001,0.6445310000000001,1.0
380,000224_04_02,0.6777340000000001,0.6777340000000001,1.0
381,000224_05_01,0.8164060000000001,0.8164060000000001,1.0
382,000224_06_02,0.8574219999999999,0.8574219999999999,1.0
383,000225_02_02,0.8164060000000001,0.8164060000000001,1.0
384,000225_03_01,0.742188,0.742188,1.0
385,000225_04_02,0.703125,0.703125,1.0
386,000225_05_01,0.9042969999999999,0.9042969999999999,1.0
387,000225_05_02,0.9042969999999999,0.9042969999999999,1.0
388,000225_06_02,0.732422,0.732422,1.0
389,000226_01_01,0.742188,0.742188,1.0
390,000226_02_01,0.5820310000000001,0.5820310000000001,1.0
391,000226_03_01,0.6523439999999999,0.6523439999999999,1.0
392,000227_01_02,0.976562,0.976562,1.0
393,000227_02_02,0.976562,0.976562,1.0
394,000228_03_03,0.859375,0.859375,1.0
395,000229_03_03,0.976562,0.976562,1.0
396,000229_03_04,0.976562,0.976562,1.0
397,000230_01_01,0.78125,0.78125,1.0
398,000230_02_01,0.8769530000000001,0.8769530000000001,1.0
399,000230_03_02,0.859375,0.859375,1.0
400,000230_04_01,0.7809999999999999,0.7809999999999999,1.0
401,000230_05_01,0.859375,0.859375,1.0
402,000231_01_01,0.863281,0.863281,1.0
403,000231_03_01,0.859375,0.859375,1.0
404,000234_04_01,0.8164060000000001,0.8164060000000001,1.0
405,000234_05_01,0.78125,0.78125,1.0
406,000234_06_02,0.732422,0.732422,1.0
407,000234_07_01,0.78125,0.78125,1.0
408,000234_07_02,0.78125,0.78125,1.0
409,000234_07_03,0.78125,0.78125,1.0
410,000235_03_02,0.7910159999999999,0.7910159999999999,1.0
411,000235_04_02,0.878906,0.878906,1.0
412,000235_05_02,0.716797,0.716797,1.0
413,000238_02_01,0.859375,0.859375,1.0
414,000238_03_01,0.720703,0.720703,1.0
415,000238_04_02,0.8164060000000001,0.8164060000000001,1.0
416,000238_04_03,0.8164060000000001,0.8164060000000001,1.0
417,000238_05_01,0.8164060000000001,0.8164060000000001,1.0
418,000238_05_02,0.8164060000000001,0.8164060000000001,1.0
419,000238_06_01,0.78125,0.78125,1.0
420,000238_07_01,0.78125,0.78125,1.0
421,000238_08_01,0.820312,0.820312,1.0
422,000238_09_02,0.7809999999999999,0.7809999999999999,1.0
423,000238_09_03,0.7809999999999999,0.7809999999999999,1.0
424,000238_10_01,0.820312,0.820312,1.0
425,000238_10_02,0.820312,0.820312,1.0
426,000241_04_02,0.859375,0.859375,1.0
427,000242_01_02,0.782,0.782,1.0
428,000242_02_02,0.8164060000000001,0.8164060000000001,1.0
429,000242_04_01,0.898438,0.898438,1.0
430,000242_05_01,0.78125,0.78125,1.0
431,000243_01_01,0.703125,0.703125,1.0
432,000243_02_01,0.732422,0.732422,1.0
433,000244_02_02,0.6914060000000001,0.6914060000000001,1.0
434,000245_03_02,0.859375,0.859375,1.0
435,000245_04_02,0.976562,0.976562,1.0
436,000247_01_01,0.804688,0.804688,1.0
437,000247_03_01,0.867188,0.867188,1.0
438,000247_04_01,0.851562,0.851562,1.0
439,000247_05_01,0.859375,0.859375,1.0
440,000247_06_02,0.898438,0.898438,1.0
441,000250_01_02,0.9550780000000001,0.9550780000000001,1.0
442,000250_02_02,0.789062,0.789062,1.0
443,000250_03_02,0.732422,0.732422,1.0
444,000251_02_02,0.703125,0.703125,1.0
445,000251_06_02,0.6289060000000001,0.6289060000000001,1.0
446,000251_06_03,0.6289060000000001,0.6289060000000001,1.0
447,000251_07_02,0.8164060000000001,0.8164060000000001,1.0
448,000251_08_02,0.664062,0.664062,1.0
449,000251_09_02,0.7128909999999999,0.7128909999999999,1.0
450,000251_10_02,0.6914060000000001,0.6914060000000001,1.0
451,000251_10_03,0.6914060000000001,0.6914060000000001,1.0
452,000251_11_02,0.7285159999999999,0.7285159999999999,1.0
453,000251_11_03,0.7285159999999999,0.7285159999999999,1.0
454,000251_12_02,0.7304689999999999,0.7304689999999999,1.0
455,000251_12_03,0.7304689999999999,0.7304689999999999,1.0
456,000252_01_02,0.9375,0.9375,1.0
457,000252_01_03,0.9375,0.9375,1.0
458,000252_02_01,0.976562,0.976562,1.0
459,000252_02_02,0.976562,0.976562,1.0
460,000252_04_02,0.976562,0.976562,1.0
461,000252_04_03,0.976562,0.976562,1.0
462,000252_05_01,0.789062,0.789062,1.0
463,000252_06_01,0.8808590000000001,0.8808590000000001,1.0
464,000252_08_01,0.75,0.75,1.0
465,000252_08_02,0.75,0.75,1.0
466,000252_09_01,0.488281,0.488281,1.0
467,000252_10_02,0.976562,0.976562,1.0
468,000252_12_02,0.7714840000000001,0.7714840000000001,1.0
469,000252_13_01,0.5214840000000001,0.5214840000000001,1.0
470,000252_14_02,0.976562,0.976562,1.0
471,000252_16_02,0.7753909999999999,0.7753909999999999,1.0
472,000252_17_01,0.5410159999999999,0.5410159999999999,1.0
473,000252_18_02,0.84375,0.84375,1.0
474,000252_20_02,0.9316409999999999,0.9316409999999999,1.0
475,000252_21_01,0.507812,0.507812,1.0
476,000252_22_01,0.9003909999999999,0.9003909999999999,1.0
477,000253_05_01,0.859375,0.859375,1.0
478,000255_04_01,0.859375,0.859375,1.0
479,000255_05_01,0.9375,0.9375,1.0
480,000257_01_01,0.7382810000000001,0.7382810000000001,1.0
481,000257_02_01,0.765625,0.765625,1.0
482,000257_03_02,0.820312,0.820312,1.0
483,000257_04_02,0.8164060000000001,0.8164060000000001,1.0
484,000259_01_01,0.794922,0.794922,1.0
485,000259_05_01,0.82,0.82,1.0
486,000260_01_02,0.78125,0.78125,1.0
487,000260_02_02,0.742188,0.742188,1.0
488,000260_03_02,0.8261719999999999,0.8261719999999999,1.0
489,000260_04_02,0.82,0.82,1.0
490,000260_05_02,0.6914060000000001,0.6914060000000001,1.0
491,000260_06_02,0.8339840000000001,0.8339840000000001,1.0
492,000260_06_03,0.8339840000000001,0.8339840000000001,1.0
493,000260_07_02,0.78125,0.78125,1.0
494,000260_07_03,0.78125,0.78125,1.0
495,000260_08_02,0.863281,0.863281,1.0
496,000260_08_03,0.863281,0.863281,1.0
497,000260_10_02,0.863281,0.863281,1.0
498,000260_11_02,0.9375,0.9375,1.0
499,000260_11_03,0.9375,0.9375,1.0
500,000260_12_02,0.859375,0.859375,1.0
501,000261_02_01,0.78125,0.78125,1.0
502,000262_04_01,0.732422,0.732422,1.0
503,000265_07_02,0.6914060000000001,0.6914060000000001,1.0
504,000265_10_01,0.7148439999999999,0.7148439999999999,1.0
505,000265_10_02,0.7148439999999999,0.7148439999999999,1.0
506,000265_11_02,0.742188,0.742188,1.0
507,000266_03_02,0.898438,0.898438,1.0
508,000266_04_02,0.976562,0.976562,1.0
509,000268_01_01,0.8886719999999999,0.8886719999999999,1.0
510,000268_02_02,0.7128909999999999,0.7128909999999999,1.0
511,000268_03_02,0.859375,0.859375,1.0
512,000268_03_03,0.859375,0.859375,1.0
513,000268_04_01,0.859375,0.859375,1.0
514,000269_05_02,0.820312,0.820312,1.0
515,000269_05_03,0.820312,0.820312,1.0
516,000269_06_02,0.8164060000000001,0.8164060000000001,1.0
517,000269_08_02,0.847656,0.847656,1.0
518,000270_01_01,0.898438,0.898438,1.0
519,000270_02_01,0.859375,0.859375,1.0
520,000270_03_01,0.7910159999999999,0.7910159999999999,1.0
521,000271_05_01,0.7809999999999999,0.7809999999999999,1.0
522,000271_06_02,0.7382810000000001,0.7382810000000001,1.0
523,000271_06_03,0.7382810000000001,0.7382810000000001,1.0
524,000271_07_02,0.664062,0.664062,1.0
525,000271_09_02,0.664062,0.664062,1.0
526,000271_09_03,0.664062,0.664062,1.0
527,000271_10_01,0.6914060000000001,0.6914060000000001,1.0
528,000271_10_02,0.6914060000000001,0.6914060000000001,1.0
529,000271_11_01,0.6523439999999999,0.6523439999999999,1.0
530,000271_11_02,0.6523439999999999,0.6523439999999999,1.0
531,000271_12_01,0.6757810000000001,0.6757810000000001,1.0
532,000271_12_02,0.6757810000000001,0.6757810000000001,1.0
533,000271_13_02,0.8164060000000001,0.8164060000000001,1.0
534,000271_13_03,0.8164060000000001,0.8164060000000001,1.0
535,000273_01_02,0.976562,0.976562,1.0
536,000273_02_02,0.976562,0.976562,1.0
537,000275_08_02,0.8164060000000001,0.8164060000000001,1.0
538,000275_10_02,0.863281,0.863281,1.0
539,000276_05_02,0.78125,0.78125,1.0
540,000277_03_02,0.8574219999999999,0.8574219999999999,1.0
541,000277_05_02,0.898438,0.898438,1.0
542,000277_08_02,0.847656,0.847656,1.0
543,000277_09_01,0.9375,0.9375,1.0
544,000277_10_01,0.9375,0.9375,1.0
545,000277_11_01,0.859375,0.859375,1.0
546,000278_01_01,0.794922,0.794922,1.0
547,000278_02_01,0.782,0.782,1.0
548,000278_05_01,0.7020000000000001,0.7020000000000001,1.0
549,000278_06_01,0.7020000000000001,0.7020000000000001,1.0
550,000278_07_01,0.732422,0.732422,1.0
551,000278_07_02,0.732422,0.732422,1.0
552,000280_02_01,0.78125,0.78125,1.0
553,000280_02_03,0.78125,0.78125,1.0
554,000280_03_01,0.7460939999999999,0.7460939999999999,1.0
555,000280_03_02,0.7460939999999999,0.7460939999999999,1.0
556,000280_03_03,0.7460939999999999,0.7460939999999999,1.0
557,000281_03_01,0.585938,0.585938,1.0
558,000281_05_01,0.625,0.625,1.0
559,000282_02_02,0.78125,0.78125,1.0
560,000282_03_01,0.8222659999999999,0.8222659999999999,1.0
